,tweet_id,text,favorite_count,retweet_count,created_at
35,1412956253379309568,"Who starts a Harry Potter marathon at 9pm?? Me, that’s who!! 🥰",0,0,Thu Jul 08 02:06:36 +0000 2021
36,1412956245301075968,"Pensando seriamente em assistir Harry potter tudo d novo esse fds, vou ficar trancado msm",0,0,Thu Jul 08 02:06:34 +0000 2021
37,1412956236178497545,"RT @EiProfeta: Harry Potter, El Señor de los Anillos y Shrek se estrenaron hace 20 años.

Yo: https://t.co/rPxkuT7YdB",0,1023,Thu Jul 08 02:06:32 +0000 2021
38,1412956227676643331,Убейте меня я огеншинилась и увидев HP в контексте фандомов подумала нихуя себе фандом хп пока не поняла что это HARRY POTTER...,0,0,Thu Jul 08 02:06:30 +0000 2021
39,1412956214514917381,RT @TheDailyHPotter: Gloucester Cathedral where Harry Potter was filmed ❤️ https://t.co/lrvkQAoc17,0,298,Thu Jul 08 02:06:27 +0000 2021
40,1412956208286380033,"RT @michifurros: • ────── ✾ ────── •

Michis gatácticos as personajes de Harry Potter

• ────── ✾ ────── • https://t.co/35dDnmZ8Mp",0,1,Thu Jul 08 02:06:26 +0000 2021
41,1412956158873128964,"RT @rowlinglibrary: Ten years ago: Premiere of Harry Potter and the Deathly Hallows - Part 2 at Trafalgar Square on July 7, 2011 in London.…",0,72,Thu Jul 08 02:06:14 +0000 2021
42,1412956146189615105,RT @diaybyy: Podemos hablar de Tom en la premier de Harry Potter y las Reliquias de la Muerte p.2 https://t.co/dfaU3aiJbc,0,13,Thu Jul 08 02:06:11 +0000 2021
43,1412956134592315395,RT @peacockTV: The Harry Potter Film Series is streaming now on Peacock.,0,4,Thu Jul 08 02:06:08 +0000 2021
44,1412956128271548417,RT @noirwhills: potterhead? jamais! apenas gosto muito de harry potter,0,203,Thu Jul 08 02:06:07 +0000 2021
45,1412956125822078977,twitter please stop showing me buff harry potter I beg of you 🥺,0,0,Thu Jul 08 02:06:06 +0000 2021
46,1412956119631343617,RT @marlvswtson: todo era más lindo cuando Harry Potter estaba en Netflix,0,758,Thu Jul 08 02:06:05 +0000 2021
47,1412956111506972673,"RT @ToIkienverse: Shrek, Harry Potter y El Señor de los Anillos se estrenaron el mismo año / HACE 20 AÑOS https://t.co/Ydaodyv8xr",0,710,Thu Jul 08 02:06:03 +0000 2021
48,1412956110693281798,@Harry_Potter_TM Un estupendo actor,1,0,Thu Jul 08 02:06:02 +0000 2021
49,1412956108122206211,"RT @thejellysystem: hiii im new to #booktwt and #pjotwt 

my fave books are:
- percy jackson
- harry potter
-anything by john green 
- a da…",0,9,Thu Jul 08 02:06:02 +0000 2021
50,1412956101537107968,"RT @nacaomarveI: O CROSSOVER DO MILÊNIO.

#LOKI CHEGANDO EM HOGWARTS COM A SYLVIE PRA VISITAR O HARRY POTTER https://t.co/rd3kWedJ2M",0,344,Thu Jul 08 02:06:00 +0000 2021
51,1412956100626849792,Shut up and finish Harry Potter nigga https://t.co/AKCjy4mlbI,0,0,Thu Jul 08 02:06:00 +0000 2021
52,1412956086542479361,fãs de harry potter me ajudem https://t.co/zB8A8L0b5M,0,0,Thu Jul 08 02:05:57 +0000 2021
53,1412956071447220225,RT @OficialDeborahA: O adm aqui também ama Harry Potter obcecadamente e vocês?  🤓⚡,0,9,Thu Jul 08 02:05:53 +0000 2021
54,1412956036361859074,RT @birdwriter7: #fairytales #snow #FairytaleTuesday #magical #wildlife #wilderness #enchantment #wizard #shapeshifter #wolf #raven #fox #M…,0,63,Thu Jul 08 02:05:45 +0000 2021
55,1412956029466337284,RT @lorimaciel_: NÃO CONFIE EM PESSOAS QUE PREFEREM DRACO BELLATRIX DUMBLEDORE CHO CHANG DO QUE A MAIOR LENDA DE HARRY POTTER QUE É HERMION…,0,458,Thu Jul 08 02:05:43 +0000 2021
56,1412955980061573121,"RT @PotterheadClub: Un día como hoy, hace 10 años se llevaba acabo el estreno en vivo de Harry Potter y las Reliquias de la Muerte: Parte 2…",0,199,Thu Jul 08 02:05:31 +0000 2021
57,1412955936147353605,Facebook permite vivir la experiencia de Harry Potter con una nueva herramienta de realidad aumentada https://t.co/0qd6NcHof3,0,0,Thu Jul 08 02:05:21 +0000 2021
58,1412955935644033026,RT @moonyymoony: are you straight or is prisoner of azkaban your favorite harry potter movie,0,3,Thu Jul 08 02:05:21 +0000 2021
59,1412955886520242176,RT @TheDailyHPotter: The perfect Harry Potter lockscreens ❤️ https://t.co/s2c3qdPkYs,0,233,Thu Jul 08 02:05:09 +0000 2021
60,1412955884527947783,"RT @EiProfeta: Harry Potter, El Señor de los Anillos y Shrek se estrenaron hace 20 años.

Yo: https://t.co/rPxkuT7YdB",0,1023,Thu Jul 08 02:05:08 +0000 2021
61,1412955857206353926,"Finalmente assistindo harry Potter e tô amandoooooo, mds eu ñ tenho dinheiro pra mais livros q quero comprar",1,0,Thu Jul 08 02:05:02 +0000 2021
62,1412955836855603202,Harry Potter is so hot,0,0,Thu Jul 08 02:04:57 +0000 2021
63,1412955807440855044,RT @cinepop: 'Harry Potter e as Relíquias da Morte - Parte 2' faz 10 anos; Veja curiosidades sobre a produção! - https://t.co/oiHgoogSPX ht…,0,1,Thu Jul 08 02:04:50 +0000 2021
64,1412955791032832001,RT @BernieTranders: I’m watching Harry Potter and the Philosopher’s Stone and during the bit where Hagrid refers to himself as Norbert the…,0,93,Thu Jul 08 02:04:46 +0000 2021
